ASIN,URL,CATEGORY
7211045639,http://ecx.images-amazon.com/images/I/419yKtE0IUL.jpg,Women
B002J2AE1M,http://ecx.images-amazon.com/images/I/31emHmzAW-L.jpg,Women
B003ILISQ6,http://ecx.images-amazon.com/images/I/41a-V%2BMWLML.jpg,Women
B006ILZCIA,http://ecx.images-amazon.com/images/I/41rHIa9NqeL.jpg,Women
B008IZMWNM,http://ecx.images-amazon.com/images/I/51-9ZsFlbGL.jpg,Women
B0014CJU40,http://ecx.images-amazon.com/images/I/41KIwq9ccTL.jpg,Women
B0051BSJHY,http://ecx.images-amazon.com/images/I/413Sur2t06L.jpg,Women
B005KM6MMI,http://ecx.images-amazon.com/images/I/514acMKuX3L.jpg,Women
B007WA3PD0,http://ecx.images-amazon.com/images/I/41GMEfHdjvL.jpg,Women
B009OYS384,http://ecx.images-amazon.com/images/I/41XBDyh2ZwL.jpg,Women
B00AII7KL6,http://ecx.images-amazon.com/images/I/51XG072kcoL.jpg,Women
B008FY77GI,http://ecx.images-amazon.com/images/I/51XsUzXUZeL.jpg,Women
B008SCLUS8,http://ecx.images-amazon.com/images/I/51cCjfmyZQL.jpg,Women
B00B70IC6G,http://ecx.images-amazon.com/images/I/51OD-PthRYL.jpg,Women
B00DUO8RK8,http://ecx.images-amazon.com/images/I/51tcxHzebFL.jpg,Women
9626819502,http://ecx.images-amazon.com/images/I/31mYy7ovwLL.jpg,Women
B0019O51KA,http://ecx.images-amazon.com/images/I/31X6uZYtyEL.jpg,Women
B004ZMROO4,http://ecx.images-amazon.com/images/I/41oeRq6OoEL.jpg,Women
B0055LIS94,http://ecx.images-amazon.com/images/I/31UqWv%2B45BL.jpg,Women
B007IM6YA8,http://ecx.images-amazon.com/images/I/41o6SLaWTtL.jpg,Women
B000ARDYRY,http://ecx.images-amazon.com/images/I/419tuWH6CSL.jpg,Women
B000TISQ36,http://ecx.images-amazon.com/images/I/41pi9-nCPyL.jpg,Women
B004155QRM,http://ecx.images-amazon.com/images/I/51r4GA1o3YL.jpg,Women
B00DM05D5C,http://ecx.images-amazon.com/images/I/419%2BG-BUlSL.jpg,Women
B00G05BHWY,http://ecx.images-amazon.com/images/I/51hPdHO4ucL.jpg,Women
9629558424,http://ecx.images-amazon.com/images/I/511Kl0i9A9L.jpg,Women
