ASIN,URL,CATEGORY
1412718031,http://ecx.images-amazon.com/images/I/41ByEQhZmZL.jpg,Baby
B0009JXXYM,http://ecx.images-amazon.com/images/I/41sEPDBgiKL.jpg,Baby
B003AIKWEI,http://ecx.images-amazon.com/images/I/416h0L4J9PL.jpg,Baby
B003AIKWGG,http://ecx.images-amazon.com/images/I/31SgGhEof8L.jpg,Baby
B004WI3GWA,http://ecx.images-amazon.com/images/I/41IQFU3d4gL.jpg,Baby
B004WJ2JA4,http://ecx.images-amazon.com/images/I/31lvdeUgDkL.jpg,Baby
B0057U7NHQ,http://ecx.images-amazon.com/images/I/31PFXkhE%2BHL.jpg,Baby
B005Q7UWW8,http://ecx.images-amazon.com/images/I/41gEQc6MKvL.jpg,Baby
B005Q7VHBS,http://ecx.images-amazon.com/images/I/41S3vr6Bl6L.jpg,Baby
B008BSNGSQ,http://ecx.images-amazon.com/images/I/510AXJz08sL.jpg,Baby
B004TG3N28,http://ecx.images-amazon.com/images/I/41h776uwjPL.jpg,Baby
B007C2PV4E,http://ecx.images-amazon.com/images/I/31QF1lYhvqL.jpg,Baby
B007C2PV4O,http://ecx.images-amazon.com/images/I/31%2B7WTIog5L.jpg,Baby
B007YJ2EYK,http://ecx.images-amazon.com/images/I/41RstZ10qbL.jpg,Baby
B0083VS9ZG,http://ecx.images-amazon.com/images/I/51GfwCOf3-L.jpg,Baby
B00AHOQ62K,http://ecx.images-amazon.com/images/I/41etaW0CIOL.jpg,Baby
B00ATCBTRC,http://ecx.images-amazon.com/images/I/51fFCY6HLvL.jpg,Baby
B00CXVLUNU,http://ecx.images-amazon.com/images/I/412kdRKKCfL.jpg,Baby
B000072UMJ,http://ecx.images-amazon.com/images/I/41-ZqRrqOML.jpg,Baby
B001UI0KJ2,http://ecx.images-amazon.com/images/I/41tWRlYdzXL.jpg,Baby
B0029DNMJM,http://ecx.images-amazon.com/images/I/41ol2a7W5oL.jpg,Baby
B002U0KZ0S,http://ecx.images-amazon.com/images/I/51-32bG2xsL.jpg,Baby
B0037NYGCA,http://ecx.images-amazon.com/images/I/41Lx1ojoLML.jpg,Baby
B00686WQNY,http://ecx.images-amazon.com/images/I/41j1ZBB9m7L.jpg,Baby
B008ENQTUK,http://ecx.images-amazon.com/images/I/51vsSK-6w7L.jpg,Baby
B000086Q9O,http://ecx.images-amazon.com/images/I/31yEzg0BwaL.jpg,Baby
B000EW7HFU,http://ecx.images-amazon.com/images/I/41itBsS4cUL.jpg,Baby
B004X4IZA6,http://ecx.images-amazon.com/images/I/51CshdGE2uL.jpg,Baby
B0050DT11Q,http://ecx.images-amazon.com/images/I/51CKXBo2QWL.jpg,Baby
B005DD6ACQ,http://ecx.images-amazon.com/images/I/51EfxSMo-ML.jpg,Baby
B00ARDD4XK,http://ecx.images-amazon.com/images/I/41YR5VhUHVL.jpg,Baby
B0001CNJ9Q,http://ecx.images-amazon.com/images/I/41VEsu1VLzL.jpg,Baby
B004NELEN6,http://ecx.images-amazon.com/images/I/51XE908H8HL.jpg,Baby
B00AYAI0VC,http://ecx.images-amazon.com/images/I/51uW0PSl6PL.jpg,Baby
B00B9RGOXU,http://ecx.images-amazon.com/images/I/41h%2B78edGuL.jpg,Baby
B00BKZ9NUM,http://ecx.images-amazon.com/images/I/51s-dJyjPlL.jpg,Baby
B0001Z6DLY,http://ecx.images-amazon.com/images/I/41Xv31v1HsL.jpg,Baby
B004W7C6M2,http://ecx.images-amazon.com/images/I/51y3yt-KgXL.jpg,Baby
